Id,Name,PriorityScore,Remarks,Status
94,lda_item_search_place_pub_good,0,"item, search, place, pub, good, long, star, view, map, filter",0
95,lda_problem_app_note_new_1,0,"problem, app, note, new, 1, crash, info, solution, opening, brand",0
96,lda_thing_problem_idea_orientation_option,0,"thing, problem, idea, orientation, option, sheet, way, Pinterest, dish, delicious",0
97,lda_app_new_video_level_push,0,"app, new, video, level, push, notification, iPad, activity, shut, crazy",0
98,lda_mobile_app_deposit_important_well,0,"mobile, app, deposit, important, well, mail, quality, PNC, suggestion, check",0
99,lda_iPad_white_brightness_icon_eye,0,"iPad, white, brightness, icon, eye, image, functionality, 500, progress, huge",0
100,lda_good_problem_Evernote_minute_iOS,0,"good, problem, Evernote, minute, iOS, different, notebook, slow, ready, bit",0
101,lda_program_app_file_thing_slow,0,"program, app, file, thing, slow, bill, icon, type, safe, problem",0
102,lda_able_problem_memory_whatsapp_installation,0,"able, problem, memory, whatsapp, installation, Whatsapp, user, team, low, lenovo",0
103,lda_app_reason_good_search_download,0,"app, reason, good, search, download, APD, great, useless, Evernote, feature",0
104,lda_problem_easy_app_limit_Wtf,0,"problem, easy, app, limit, Wtf, clean, beginning, service, stupid, pin",0
105,lda_check_web_interface_new_image,0,"check, web, interface, new, image, issue, software, 45, weird, desktop",0
106,lda_recent_app_update_12_Evernote,0,"recent, app, update, 12, Evernote, Dropbox, Mac, month, file, iPhoto",0
107,lda_people_app_folder_document_note,0,"people, app, folder, document, note, big, entire, able, excel, new",0
108,lda_problem_video_image_unable_stability,0,"problem, video, image, unable, stability, app, new, good, 152, outdated",0
109,lda_hat_half_app_cause_horrible,0,"hat, half, app, cause, horrible, crash, annoying, premade, middle, love",0
110,lda_update_app_Dropbox_new_old,0,"update, app, Dropbox, new, old, version, screen, well, file, iPad",0
111,lda_problem_app_little_pinterest_fact,0,"problem, app, little, pinterest, fact, page, bit, love, second, money",0
112,lda_love_document_problem_good_friend,0,"love, document, problem, good, friend, spam, share, thing, terrible, gray",0
113,lda_link_problem_site_bad_error,0,"link, problem, site, bad, error, app, new, 919, version, Mobil",0
114,lda_review_update_hotel_5_crash,0,"review, update, hotel, 5, crash, new, Update, negative, logo, screen",0
115,lda_app_problem_previous_great_version,0,"app, problem, previous, great, version, home, feature, second, dropbox, way",0
116,lda_time_game_thank_ty_platform,0,"time, game, thank, ty, platform, feature, app, total, failure, document",0
117,lda_support_problem_user_wrong_million,0,"support, problem, user, wrong, million, premium, Tech, memory, people, single",0
118,lda_version_file_possible_app_perfect,0,"version, file, possible, app, perfect, problem, update, new, current, dropbox",0
119,lda_file_password_update_great_name,0,"file, password, update, great, name, green, incorrect, account, lame, office",0
120,lda_trip_app_option_star_rental,0,"trip, app, option, star, rental, house, client, engine, unusable, way",0
121,lda_crash_problem_book_app_launch,0,"crash, problem, book, app, launch, performance, late, handy, version, iPad",0
122,lda_app_time_instruction_great_detail,0,"app, time, instruction, great, detail, day, weather, picture, pic, able",0
123,lda_iPad_problem_app_update_startup,0,"iPad, problem, app, update, startup, version, happy, window, setting, new",0
124,lda_upload_new_functionality_Dropbox_old,0,"upload, new, functionality, Dropbox, old, work, option, camera, good, badge",0
125,lda_bug_App_screen_video_late,0,"bug, App, screen, video, late, today, desktop, tomorrow, day, issue",0
126,lda_app_oop_Quit_purpose_review,0,"app, oop, Quit, purpose, review, update, patch, post, updated, silly",0
127,lda_App_app_Dropbox_box_voice,0,"App, app, Dropbox, box, voice, defect, buggy, slow, update, bug",0
128,lda_app_premium_feature_work_subscriber,0,"app, premium, feature, work, subscriber, bad, Fox, photo, mobile, Evernote",0
129,lda_note_version_system_problem_functionality,0,"note, version, system, problem, functionality, number, look, major, spreadsheet, good",0
130,lda_game_team_stat_2_play,0,"game, team, stat, 2, play, 1, error, version, week, qb",0
132,lda_feature_month_sad_update_problem,0,"feature, month, sad, update, problem, account, bad, app, conversation, 1st",0
133,lda_picture_problem_feed_load_news,0,"picture, problem, feed, load, news, app, board, option, cover, pic",0
134,lda_problem_way_folder_new_layout,0,"problem, way, folder, new, layout, pin, button, menu, diy, sure",0
135,lda_7_complaint_problem_app_version,0,"7, complaint, problem, app, version, update, issue, outdated, Update, spot",0
136,lda_photo_today_upload_auto_feature,0,"photo, today, upload, auto, feature, hope, duo, modern, iri, Instagram",0
137,lda_app_scam_photo_phone_precious,0,"app, scam, photo, phone, precious, hundred, general, pain, bug, friend",0
138,lda_problem_help_PDF_Love_update,0,"problem, help, PDF, Love, update, annoying, blank, app, file, power",0
139,lda_disappointed_user_problem_premium_info,0,"disappointed, user, problem, premium, info, comopatible, Instagram, modern, hope, grand",0
140,lda_problem_upgrade_slow_crash_update,0,"problem, upgrade, slow, crash, update, difficult, late, app, EXTREMELY, Dropbox",0
141,lda_phone_useless_app_update_Dropbox,0,"phone, useless, app, update, Dropbox, point, file, duo, modern, grand",0
142,lda_hotel_20_search_hard_attraction,0,"hotel, 20, search, hard, attraction, function, slow, thing, good, photo",0
143,lda_pin_problem_email_notification_Safari,0,"pin, problem, email, notification, Safari, iphone, App, iPad, time, update",0
144,lda_great_app_website_problem_update,0,"great, app, website, problem, update, new, useless, password, letter, look",0
145,lda_need_cool_update_bar_progress,0,"need, cool, update, bar, progress, version, option, previous, message, Facebook",0
146,lda_song_Dropbox_application_update_folder,0,"song, Dropbox, application, update, folder, problem, issue, iPad, pdfs, track",0
147,lda_screen_problem_app_mini_work,0,"screen, problem, app, mini, work, good, time, little, option, editing",0
148,lda_app_time_read_feedback_3rd,0,"app, time, read, feedback, 3rd, update, reason, support, iph5, response",0
149,lda_recipe_good_11_app_multiple,0,"recipe, good, 11, app, multiple, problem, pictute, member, grup, coz",0
150,lda_app_good_terrible_version_new,0,"app, good, terrible, version, new, buggy, numerous, problem, wrong, location",0
151,lda_text_Evernote_formatting_great_proper,0,"text, Evernote, formatting, great, proper, rich, note, bullet, good, capability",0
152,lda_map_new_file_version_town,0,"map, new, file, version, town, block, location, platform, problem, house",0
153,lda_problem_available_update_app_page,0,"problem, available, update, app, page, phone, dropbox, Pintrest, version, reason",0
154,lda_note_problem_frustrating_app_3,0,"note, problem, frustrating, app, 3, improvement, version, area, star, good",0
155,lda_open_file_music_option_sound,0,"open, file, music, option, sound, able, hope, Instagram, college, duo",0
