label,text
ham,GountiljurongpointcrazyAvailableonlyinbugisngreatworldlaebuffetCinetheregotamorewat
ham,OklarJokingwifuoni
spam,Freeentryin2awklycomptowinFACupfinaltkts21stMay2005TextFAto87121toreceiveentryquestionstdtxtrateTCsapply08452810075over18s
ham,UdunsaysoearlyhorUcalreadythensay
ham,NahIdontthinkhegoestousfhelivesaroundherethough
spam,FreeMsgHeytheredarlingitsbeen3weeksnowandnowordbackIdlikesomefunyouupforitstillTbokXxXstdchgstosend150torcv
ham,EvenmybrotherisnotliketospeakwithmeTheytreatmelikeaidspatent
ham,AsperyourrequestMelleMelleOruMinnaminunginteNurunguVettamhasbeensetasyourcallertuneforallCallersPress9tocopyyourfriendsCallertune
spam,WINNERAsavaluednetworkcustomeryouhavebeenselectedtoreceivea900prizerewardToclaimcall09061701461ClaimcodeKL341Valid12hoursonly
spam,Hadyourmobile11monthsormoreURentitledtoUpdatetothelatestcolourmobileswithcameraforFreeCallTheMobileUpdateCoFREEon08002986030
ham,ImgonnabehomesoonandidontwanttotalkaboutthisstuffanymoretonightkIvecriedenoughtoday
spam,SIXchancestowinCASHFrom100to20000poundstxtCSH11andsendto87575Cost150pday6days16TsandCsapplyReplyHL4info
spam,URGENTYouhavewona1weekFREEmembershipinour100000PrizeJackpotTxtthewordCLAIMtoNo81010TCwwwdbuknetLCCLTDPOBOX4403LDNW1A7RW18
ham,IvebeensearchingfortherightwordstothankyouforthisbreatherIpromiseiwonttakeyourhelpforgrantedandwillfulfilmypromiseYouhavebeenwonderfulandablessingatalltimes
ham,IHAVEADATEONSUNDAYWITHWILL
spam,XXXMobileMovieClubTouseyourcreditclicktheWAPlinkinthenexttxtmessageorclickherehttpwapxxxmobilemovieclubcomnQJKGIGHJJGCBL
ham,Ohkimwatchinghere
ham,Ehurememberhow2spellhisnameYesididHevnaughtymakeuntilivwet
ham,FineifthatsthewayufeelThatsthewayitsgotab
spam,EnglandvMacedoniadontmissthegoalsteamnewsTxturnationalteamto87077egENGLANDto87077TryWALESSCOTLAND4txtú120POBOXox36504W45WQ16
ham,Isthatseriouslyhowyouspellhisname
ham,Imgoingtotryfor2monthshahaonlyjoking
ham,SoüpayfirstlarThenwhenisdastockcomin
ham,AftifinishmylunchthenigostrdownlorArd3smthlorUfinishurlunchalready
ham,FfffffffffAlrightnowayIcanmeetupwithyousooner
ham,JustforcedmyselftoeatasliceImreallynothungrythoThissucksMarkisgettingworriedHeknowsImsickwhenIturndownpizzaLol
ham,Lolyouralwayssoconvincing
ham,DidyoucatchthebusAreyoufryinganeggDidyoumakeateaAreyoueatingyourmomsleftoverdinnerDoyoufeelmyLove
ham,ImbackampwerepackingthecarnowIllletyouknowiftheresroom
ham,AhhhWorkIvaguelyrememberthatWhatdoesitfeellikeLol
ham,Waitthatsstillnotallthatclearwereyounotsureaboutmebeingsarcasticorthatthatswhyxdoesntwanttolivewithus
ham,Yeahhegotinat2andwasvapologeticnhadfallenoutandshewasactinlikespoiltchildandhegotcaughtupinthatTill2ButwewontgothereNotdoingtoobadlycheersYou
ham,Ktellmeanythingaboutyou
ham,ForfearoffaintingwiththeofallthathouseworkyoujustdidQuickhaveacuppa
spam,ThanksforyoursubscriptiontoRingtoneUKyourmobilewillbecharged5monthPleaseconfirmbyreplyingYESorNOIfyoureplyNOyouwillnotbecharged
ham,YupOkigohomelookatthetimingsthenimsgüagainXuhuigoingtolearnon2ndmaytoobutherlessonisat8am
ham,OopsIllletyouknowwhenmyroommatesdone
ham,IseetheletterBonmycar
ham,AnythinglorUdecide
ham,HelloHowsyouandhowdidsaturdaygoIwasjusttextingtoseeifyouddecidedtodoanythingtomoNotthatimtryingtoinvitemyselforanything
ham,PlsgoaheadwithwattsIjustwantedtobesureDohaveagreatweekendAbiola
ham,DidIforgettotellyouIwantyouIneedyouIcraveyouButmostofallIloveyoumysweetArabiansteedMmmmmmYummy
spam,07732584351RodgerBurnsMSGWetriedtocallyoureyourreplytooursmsforafreenokiamobilefreecamcorderPleasecallnow08000930705fordeliverytomorrow
ham,WHOAREYOUSEEING
ham,GreatIhopeyoulikeyourmanwellendowedIamltgtinches
ham,Nocallsmessagesmissedcalls
ham,Didntyougethepbimmunisationinnigeria
ham,Fairenoughanythinggoingon
ham,YeahhopefullyiftylercantdoitIcouldmaybeaskaroundabit
ham,UdontknowhowstubbornIamIdidntevenwanttogotothehospitalIkepttellingMarkImnotaweaksuckerHospitalsareforweaksuckers
ham,WhatyouthinkedaboutmeFirsttimeyousawmeinclass
ham,Agramusuallyrunslikeltgtahalfeighthissmarterthoughandgetsyoualmostawholesecondgramforltgt
ham,Kfyixhasarideearlytomorrowmorningbuthescrashingatourplacetonight
ham,WowIneverrealizedthatyouweresoembarassedbyyouraccomodationsIthoughtyoulikeditsinceiwasdoingthebesticouldandyoualwaysseemedsohappyaboutthecaveImsorryIdidntanddonthavemoretogiveImsorryiofferedImsorryyourroomwassoembarassing
spam,SMSacSptvTheNewJerseyDevilsandtheDetroitRedWingsplayIceHockeyCorrectorIncorrectEndReplyENDSPTV
ham,DoyouknowwhatMallikaSherawatdidyesterdayFindoutnowltURLgt
spam,Congrats1yearspecialcinemapassfor2isyourscall09061209465nowCSuprmanVMatrix3StarWars3etcall4FREEbx420ip45we150pmDontmissout
ham,SorryIllcalllaterinmeeting
ham,Tellwhereyoureached
ham,Yesgautiandsehwagoutofodiseries
ham,Yourgonnahavetopickupa1burgerforyourselfonyourwayhomeIcantevenmovePainiskillingme
ham,HahahagoodjokeGirlsaresituationseekers
ham,ItsapartofcheckingIQ
ham,SorrymyroommatestookforeveritokifIcomebynow
ham,OklaridoublecheckwifdahairdresseralreadyhesaidwuncutvshortHesaidwillcutuntililooknice
spam,AsavaluedcustomerIampleasedtoadviseyouthatfollowingrecentreviewofyourMobNoyouareawardedwitha1500BonusPrizecall09066364589
ham,TodayissongdedicateddayWhichsongwilludedicateformeSendthistoallurvaluablefrndsbutfirstrplyme
spam,UrgentURawardedacomplimentarytriptoEuroDisincTravAcoEntry41Or1000ToclaimtxtDISto87121186150moreFrmMobShrAcomOrSglSuplt10LS13AJ
spam,DidyouhearaboutthenewDivorceBarbieItcomeswithallofKensstuff
ham,Iplanetogiveonthismonthend
ham,WahluckymanThencansavemoneyHee
ham,Finishedclasswhereareyou
ham,HIBABEIMATHOMENOWWANNADOSOMETHINGXX
ham,Kkwhereareyouhowdidyouperformed
ham,Ucancallmenow
ham,IamwaitingmachanCallmeonceyoufree
ham,Thatscooliamagentlemanandwilltreatyouwithdignityandrespect
ham,Ilikeyoupeoplesverymuchbutamveryshypa
ham,Doesnotoperateafterltgtorwhat
ham,ItsnotthesamehereStilllookingforajobHowmuchdoTasearnthere
ham,SorryIllcalllater
ham,KDidyoucallmejustnowah
ham,Okiamonthewaytohomehihi
ham,Youwillbeintheplaceofthatman
ham,Yupnextstop
ham,IcallyoulaterdonthavenetworkIfurgntsmsme
ham,ForrealwhenugettingonyoIonlyneed2moreticketsandonemorejacketandImdoneIalreadyusedallmymultis
ham,YesIstartedtosendrequeststomakeitbutpaincamebacksoImbackinbedDoublecoinsatthefactorytooIgottacashinallmynitros
ham,Imreallynotuptoitstilltonightbabe
ham,Elakanoildownloadcomewenurfree
ham,YeahdoDontstandtoclosethoyoullcatchsomething
ham,SorrytobeapainIsitokifwemeetanothernightIspentlateafternoonincasualtyandthatmeansihaventdoneanyofystuff42moroandthatincludesallmytimesheetsandthatSorry
ham,SmileinPleasureSmileinPainSmilewhentroublepourslikeRainSmilewhensum1HurtsUSmilebecozSOMEONEstillLovestoseeuSmiling
spam,Pleasecallourcustomerservicerepresentativeon08001696031between10am9pmasyouhaveWONaguaranteed1000cashor5000prize
ham,HaventplanningtobuylaterIcheckalreadylidoonlygot530showineafternoonUfinishworkalready
spam,YourfreeringtoneiswaitingtobecollectedSimplytextthepasswordMIXto85069toverifyGetUsherandBritneyFMLPOBox5249MK1792H450Ppw16
ham,Watchingtelugumoviewatabtu
ham,iseeWhenwefinishwehaveloadsofloanstopay
ham,HiWkbeenokonholsnowYesonforabitofarunForgotthatihavehairdressersappointmentatfoursoneedtogethomenshowerbeforehandDoesthatcauseprobforu
ham,Iseeacupofcoffeeanimation
ham,PleasedonttextmeanymoreIhavenothingelsetosay
ham,OkaynameurpriceaslongasitslegalWencanIpickthemupYuavexamsxx
ham,ImstilllookingforacartobuyAndhavenotgone4thedrivingtestyet
ham,AsperyourrequestMelleMelleOruMinnaminunginteNurunguVettamhasbeensetasyourcallertuneforallCallersPress9tocopyyourfriendsCallertune
ham,wowYourerightIdidntmeantodothatIguessonceigaveuponbostonmenandchangedmysearchlocationtonycsomethingchangedCuzonmysigninpageitstillsaysboston
ham,Ummamylifeandvavaummaloveyoulotdear
ham,ThanksalotforyourwishesonmybirthdayThanksyouformakingmybirthdaytrulymemorable
ham,AightIllhityouupwhenIgetsomecash
ham,Howwouldmyipaddresstestthatconsideringmycomputerisntaminecraftserver
ham,IknowGrumpyoldpeopleMymomwaslikeyoubetternotbelyingThenagainIamalwaystheonetoplayjokes
ham,DontworryIguesshesbusy
ham,Whatisthepluralofthenounresearch
ham,Goingfordinnermsgyouafter
ham,Imokwifitcosilike2trynewthingsButiscaredudunlikemahCosusaidnottooloud
