label,text
0,for fear of fainting with the of all that housework you just did quick have a cuppa
0,yup ok i go home look at the timings then i msg u again xuhui going to learn on 2nd may too but her lesson is at 8am
0,oops i'll let you know when my roommate's done
1,dear voucher holder to claim this weeks offer at you pc please go to tscs apply www.e-tlp.co.uk/reward
0,hello how's you and how did saturday go i was just texting to see if you'd decided to do anything tomo not that i'm trying to invite myself or anything
0,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
0,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
0,mmm thats better now i got a roast down me id b better if i had a few drinks down me 2 good indian
0,how much u trying to get
0,come around decimal pm vikkyi'm otside nw il come by tht time
1,07732584351 rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow
0,great i hope you like your man well endowed i am inches
0,okay lor wah like that def they wont let us go haha what did they say in the terms and conditions
0,haha yup hopefully we will lose a few kg by mon after hip hop can go orchard and weigh again
0,i feel like a dick because i keep sleeping through your texts and facebook messages sup you in town
0,no plm i will come da on the way
0,she's good how are you where r u working now
0,oh yes i've just been a little under the weather so i've kind of been coccooning at home
0,sorry my roommates took forever it ok if i come by now
0,good afternoon my love how goes your day what are you up to i woke early and am online waiting for you hmmm italian boy is online i see grins
1,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetc's apply 08452810075 over 18's
1,sex up ur mobile with a free sexy pic of jordan just text babe to 88600 then every wk get a sexy celeb pocketbabecouk 4 more pics 16 ps 3 wk 087016248
0,so u'll be submitting da project tmr rite
0,i forgot 2 ask u all smth there's a card on da present lei how u all want 2 write smth or sign on it
0,by march ending i should be ready but will call you for sure the problem is that my capital never complete how far with you how's work and the ladies
