Id,Name,PriorityScore,Remarks
1,lda_item_list_feature_long_note,5.0,"item, list, feature, long, note, Clear, way, alarm, page, creep"
2,lda_request_feature_order_error_slow,2.33,"request, feature, order, error, slow, loading, Buggy, money, thank, 5002"
3,lda_medium_browser_request_feature_way,3.0,"medium, browser, request, feature, way, font, purpose, app, small, web"
5,lda_file_Dropbox_folder_app_favorite,2.5,"file, Dropbox, folder, app, favorite, desktop, dropbox, thing, modifyable, device"
6,lda_feature_request_time_update_app,2.93,"feature, request, time, update, app, image, old, note, roll, camera"
7,lda_app_feature_request_intrusive_threat,2.6,"app, feature, request, intrusive, threat, sync, network, wifi, good, fail"
8,lda_video_feature_request_camera_app,2.29,"video, feature, request, camera, app, auto, time, update, nice, Keeps"
9,lda_request_feature_app_fun_sound,1.9,"request, feature, app, fun, sound, game, xperia, Sony, camera, tablet"
10,lda_black_screen_request_feature_awesome,2.17,"black, screen, request, feature, awesome, random, flash, problem, notification, watermark"
11,lda_phone_feature_request_multiple_laptop,2.9,"phone, feature, request, multiple, laptop, Bug, 100, sprout, chance, plant"
12,lda_star_update_5_feature_request,2.82,"star, update, 5, feature, request, new, design, 7, 4, option"
13,lda_request_feature_board_name_update,2.33,"request, feature, board, name, update, pin, app, people, contact, picture"
14,lda_request_feature_photo_note_app,2.62,"request, feature, photo, note, app, great, multiple, folder, large, way"
15,lda_game_great_request_feature_good,2.55,"game, great, request, feature, good, phone, reinstalled, sad, coin, progress"
16,lda_option_card_function_iTunes_gift,2.0,"option, card, function, iTunes, gift, passbook, store, Starbucks, picture, roll"
17,lda_request_feature_app_update_file,2.46,"request, feature, app, update, file, task, battle, screen, force, great"
18,lda_bar_request_feature_little_didn,3.0,"bar, request, feature, little, didn, menu, scrolling, bit, Fix, main"
19,lda_request_feature_email_time_app,2.0,"request, feature, email, time, app, alert, note, company, page, web"
20,lda_feature_request_good_photo_app,2.62,"feature, request, good, photo, app, preview, screen, bug, widget, problem"
21,lda_able_improvement_convenient_great_account,4.5,"able, improvement, convenient, great, account, extra, player, un, good, option"
22,lda_request_app_feature_pattern_helpful,3.14,"request, app, feature, pattern, helpful, able, 3, photo, version, new"
23,lda_button_folder_refresh_r_simple,1.0,"button, folder, refresh, r, simple, high, e, bit, people, manner"
24,lda_new_feature_native_request_0,2.5,"new, feature, native, request, 0, game, crash, mode, bit, ship"
25,lda_feature_request_privacy_low_device,3.0,"feature, request, privacy, low, device, picture, view, site, lage, roll"
26,lda_help_feature_connection_request_program,2.5,"help, feature, connection, request, program, wifi, scheduling, uninstalling, error, g"
27,lda_request_feature_type_app_gallery,2.6,"request, feature, type, app, gallery, intuitive, process, platform, personal, order"
28,lda_PDF_access_grade_strs_update,2.67,"PDF, access, grade, strs, update, step, book, buggy, 5, huge"
29,lda_friend_request_feature_Facebook_one,1.0,"friend, request, feature, Facebook, one, video, error, photo, single, easiness"
30,lda_copy_password_note_instruction_location,4.0,"copy, password, note, instruction, location, search, receipt, product, handy, great"
32,lda_recipe_android_pad_Samsung_update,3.0,"recipe, android, pad, Samsung, update, amazing, possible, request, feature, app"
33,lda_feature_request_Update_update_open,2.21,"feature, request, Update, update, open, opening, control, background, app, flash"
34,lda_Pinterest_feature_request_week_idea,2.88,"Pinterest, feature, request, week, idea, great, pin, fact, related, home"
36,lda_people_link_request_feature_able,3.25,"people, link, request, feature, able, way, Etsy, picture, frustrating, app"
37,lda_feature_request_app_great_version,2.8,"feature, request, app, great, version, application, update, coin, music, crash"
38,lda_Problem_problem_iv_day_tym,1.0,"Problem, problem, iv, day, tym, long, code, account, request, feature"
39,lda_feature_request_iPad_fix_previous,2.92,"feature, request, iPad, fix, previous, designer, interface, thing, content, easy"
40,lda_picture_feature_request_terrible_orientation,1.67,"picture, feature, request, terrible, orientation, thing, app, touch, quit, pro"
41,lda_thing_notification_video_record_pic,5.0,"thing, notification, video, record, pic, audio, push, shared, photographer, picture"
42,lda_work_request_feature_Game_app,1.67,"work, request, feature, Game, app, ART, today, art, review, force"
43,lda_file_app_request_feature_option,3.1,"file, app, request, feature, option, nice, note, thing, upload, ship"
44,lda_feature_secret_board_request_available,3.0,"feature, secret, board, request, available, Fix, easiness, availability, andriod, watermark"
45,lda_backward_feature_request_compatibility_6,3.0,"backward, feature, request, compatibility, 6, Fix, easiness, availability, andriod, watermark"
46,lda_reference_trap_feature_info_table,3.0,"reference, trap, feature, info, table, watermark, single, easiness, availability, favourite"
47,lda_feature_request_app_video_playback,2.88,"feature, request, app, video, playback, website, layout, well, way, intuitive"
48,lda_promotion_version_request_feature_dashboard,2.5,"promotion, version, request, feature, dashboard, new, annoying, generic, visible, option"
49,lda_request_feature_close_map_hotel,2.33,"request, feature, close, map, hotel, 4, art, great, resort, available"
50,lda_couple_fly_wish_app_reply,4.0,"couple, fly, wish, app, reply, hotel, review, TripAdvisor, way, great"
51,lda_request_feature_app_day_ability,2.92,"request, feature, app, day, ability, video, landscape, user, friendly, page"
52,lda_request_feature_page_bad_board,2.43,"request, feature, page, bad, board, problem, phone, picframe, texture, frame"
53,lda_request_feature_game_app_response,2.0,"request, feature, game, app, response, support, money, purchase, DRM, line"
54,lda_request_feature_issue_phone_picture,2.75,"request, feature, issue, phone, picture, group, participant, code, number, people"
55,lda_app_request_feature_uninstall_free,2.5,"app, request, feature, uninstall, free, important, update, reinstall, second, pig"
56,lda_complaint_computer_like_request_pin,3.0,"complaint, computer, like, request, pin, feature, watermark, single, internet, favourite"
57,lda_external_online_feature_request_photo,3.8,"external, online, feature, request, photo, app, useful, easy, convenient, good"
58,lda_tab_annoyed_notification_request_feature,3.0,"tab, annoyed, notification, request, feature, pin, andriod, single, easiness, availability"
59,lda_photo_option_app_perfect_main,3.0,"photo, option, app, perfect, main, single, easiness, availability, internet, andriod"
60,lda_feature_request_nice_thing_board,3.0,"feature, request, nice, thing, board, pin, different, previous, finger, slip"
61,lda_app_buggy_balance_operation_exposure,2.0,"app, buggy, balance, operation, exposure, expensive, dslr, controller, bulb, reliable"
62,lda_board_feature_pin_request_way,3.05,"board, feature, pin, request, way, thing, sub, time, cool, Pinterest"
64,lda_hotel_site_pet_quality_search,3.0,"hotel, site, pet, quality, search, review, location, additional, TA, time"
65,lda_feature_request_category_picture_support,2.73,"feature, request, category, picture, support, phone, well, message, landscape, user"
66,lda_feature_swipe_search_word_text,2.62,"feature, swipe, search, word, text, chain, app, list, document, request"
67,lda_free_notebook_app_bookmark_group,3.75,"free, notebook, app, bookmark, group, ingredient, great, tip, gluten, helpful"
68,lda_section_app_new_premium_tag,3.0,"section, app, new, premium, tag, advertisement, hard, version, account, business"
69,lda_problem_feature_request_game_stage,2.0,"problem, feature, request, game, stage, z, impossible, tablet, quality, refund"
70,lda_feature_request_good_set_auto,2.44,"feature, request, good, set, auto, macro, money, system, available, messenger"
71,manual_Apple,2.0,"ios, iphone, ipad, ipod, macbook, itune, itunes, air, airpod, mac"
73,manual_Pinterest,3.0,"pinterest, pin, pinned, idea, board, pintrest, pinning, visual, fashion, repin"
